,message,label
0, love this place have been coming here since was kid The food is always good and the service is great It great place to go for quick bite to eat or late night snack You can go wrong with any of the items on the menu They have wide variety of appetizers entrees and desserts,ham
1,z jus takin dat shiznit fo realz all KNOW dat shit muthafucka be fly as an eagle soarin all up in tha sky dawwwwg Yo ass know what tha fuck it is biatch It aint nuthin but tha nick nack patty wack still gots tha bigger sack Here have thugged ,ham
2,turday and tuesday FA Cup semi final first leg at Wembley Stadium Wembley London Saturday pm live on BBC One and BBC Two with live text commentary on the BBC Sport website The match will be live streamed online at www bbc co uk football and on iPlayer,spam
3,ve been in the game for long time and know what im talking about Commander Khamsi dont think so think they are just trying to get rid of the bad players and keep the good ones in there but they cant do that if they dont have the money to pay for the players they want to keep in their game they have to make,ham
4, Anonymous Tue AM No not sure what to make of this don know if it troll or not but can help but wonder if she just trying to get rise out of him It not like she doesn like him or anything,ham
5, It not that don like you it just that you re not the kind of person want to be around sorry but can allow you to stay here If you want me to let you go you ll have to prove yourself to me and won be able to allow it Dudian eyes were filled with a,ham
6,and send it to us If you have any questions please feel free to contact us at mellemelle gmail com ,ham
7,phone ipad android and other mobile devices You can also get the mobile update for free on the following devices iPhone iPad iPod touch Samsung Galaxy LG HTC One Sony Xperia Nokia Lumia Motorola Droid Razr Maxx HD Asus Transformer Pad TF ,spam
8, don know what you re talking about sorry but can talk to you about that right now It too much for me to deal with She sighed just want you to know that love you and ll always be there for you You re the best thing that ever happened to me And know,ham
9, Thank you so much for all you have done for me and my family will never forget your kindness and generosity You are wonderful person and am so grateful to have you in my life Thank you again and God bless you all ,ham
10, have date on Sunday with Will not sure if it the same day or not but have it on my calendar It not big deal just wanted to let you know that ll be there Will is good friend of mine and we ve been friends for long time He great guy and know he ll do the right thing ,ham
11, so happy that they re doing well hope they do well in the future as well want to see more of them on variety shows They re so cute ,ham
12, don know what you re talking about said Harry ve never heard of him before He not even wizard he just muggleborn sorry but can tell you anything about him If you want to talk to him you ll have to ask him yourself You re not going to be able to tell me anything are you,ham
13,lieve But if it ain then ma tell you don want to be part of it ,ham
14, Yes that how spell it don know why you re asking me that but not going to lie to you It not the first time ve heard that name and it certainly won be the last But ll tell you this it name that means lot to me And think you ll find it to be very fitting name for you too ,ham
15, don know what you re talking about but not going anywhere ve got job to do and ll be damned if let you get in the way of that You know that right You re the one who been trying to get me fired for long time now haven you And now you want me to go back to my old job can do,ham
16, don know sir said the man but ll tell you when get to the stock room and sure you ll be glad to hear it So he went out and told the clerk what he had said The clerk looked at him for moment then said Well what do you want want to know when you re going to get your stock,ham
17, ll be back in few minutes said as walked out of the restaurant didn want to waste any more time so went back to my room and went to bed The next morning woke up to the sound of my phone ringing It was my mom She was calling to let me know that she was going to pick me,ham
18, don know what you re talking about but not going to let you get away with something like that ll have you know that ve got lot of experience with this sort of thing and won hesitate to use it if think it necessary Now get out of my sight or swear to god will make sure you never see the light of day,ham
19, Anonymous Mon PM No don know what to say to that not sure if it just me but feel like ve been doing this for long time now and just can seem to get over it It s,ham
20, don know what you re talking about but not fan of you think you should just leave the fandom and go back to your country You re not even Korean so you shouldn even be in this fandom If you want to be singer go to the US or Japan or wherever It not like you can t,ham
21, sorry didn hear you said just wanted to say that love you and so glad you re here know it been long time since we ve seen each other but hope we ll be able to spend more time together in the future We have lot,ham
22,left in the trunk Thanks for your help Click to expand ,ham
23, Anonymous Mon PM No don know what to say to that not sure if it good thing or bad thing but can help but feel little sad for her It not like she going to be able to go back to her old life and don,ham
24, don know what you re talking about just trying to figure out what going on with you You seem like nice guy but can help but feel like you ve got lot on your plate right now It been while since ve seen you in person and haven had chance to,ham
25,ve got to be kidding me Anonymous Wed AM No don know what to say to that not sure if it just me but,ham
26, not sure don know what you re talking about but sure you ll find out soon enough You re not going to like what have to tell you and know you won like it either But it the only way to get to the bottom of this If you want to know the truth you need to talk to me And if you do promise you ll tell,ham
27,tea with me and ll tell you all about it don want to hear any more of that she said going to go to bed now Goodnight She turned and walked out of the room leaving me alone with my thoughts sat there for long time trying to think of something to say to her Finally I,ham
28,now ,ham
29,with me Anonymous Mon PM No don know what to say to that not sure if it good thing or bad thing but can help but feel little sad for her It not like she going to be able to do anything about it She just going,ham
